"country","region","infant_mortality","life_expectancy","maternal_mortality"
"MOZAMBIQUE","Africa",56.7,58.3,82
"NAMIBIA","Africa",27.1,65.9,139
"NAURU","Australia and Oceania",7.5,68.6,273
"NEPAL","South Asia",23.4,73,142
"NETHERLANDS","Europe",3.6,81.9,4
"NEW ZEALAND","Australia and Oceania",3.3,82.9,7
"NICARAGUA","Central America and the Caribbean",14.1,74.7,60
"NIGER","Africa",63,60.9,350
"NIGERIA","Africa",65.6,62.2,993
"NORTH MACEDONIA","Europe",6.8,77.3,3
"NORWAY","Europe",1.8,82.9,1
"OMAN","Middle East",13.6,77.4,13
"PAKISTAN","South Asia",50.3,70.3,155
"PALAU","Australia and Oceania",10.6,75.2,89
"PANAMA","Central America and the Caribbean",13.2,79.2,37
"PAPUA NEW GUINEA","East and Southeast Asia",31.3,70.1,189
"PARAGUAY","South America",21.4,78.8,58
"PERU","South America",10.6,68.9,51
"PHILIPPINES","East and Southeast Asia",18.5,70.8,84
"POLAND","Europe",4.6,76.7,2
"PORTUGAL","Europe",2.4,81.9,15
"PUERTO RICO","Central America and the Caribbean",5.7,82.1,11
"QATAR","Middle East",6.2,80.3,4
"ROMANIA","Europe",5.3,76.9,12
"RUSSIA","Central Asia",6.4,72.3,9
"RWANDA","Africa",27.4,66.6,229
"SAINT KITTS AND NEVIS","Central America and the Caribbean",7.9,77.6,74
"SAINT LUCIA","Central America and the Caribbean",11.3,79.4,44
"SAINT VINCENT AND THE GRENADINES","Central America and the Caribbean",12,77.2,56
"SAMOA","Australia and Oceania",17.2,75.7,101
"SAN MARINO","Europe",6.1,84.2,8
"SAO TOME AND PRINCIPE","Africa",41.7,67.7,75
"SAUDI ARABIA","Middle East",11.4,77.2,7
"SENEGAL","Africa",30.4,70.6,237
"SERBIA","Europe",4.4,75.3,11
"SEYCHELLES","Africa",10,76.6,42
"SIERRA LEONE","Africa",70.1,59.4,354
"SINGAPORE","East and Southeast Asia",1.5,86.7,6
"SLOVAKIA","Europe",5,77.2,4
"SLOVENIA","Europe",1.8,82.2,3
"SOLOMON ISLANDS","Australia and Oceania",18.6,77.2,123
"SOMALIA","Africa",81.5,56.5,563
"SOUTH AFRICA","Africa",19.7,71.9,118
"SOUTH SUDAN","Africa",58.6,60.3,692
"SPAIN","Europe",2.4,83,3
"SRI LANKA","South Asia",6.8,76.8,18
"SUDAN","Africa",39.7,67.8,256
"SURINAME","South America",29.3,72.7,84
"SWEDEN","Europe",2.2,82.9,4
"SWITZERLAND","Europe",3,83.9,5
"SYRIA","Middle East",14.7,74.8,20
"TAJIKISTAN","Central Asia",20.3,71.9,14
"TANZANIA","Africa",28.4,70.8,276
"THAILAND","East and Southeast Asia",6.2,78.2,34
"TIMOR-LESTE","East and Southeast Asia",41.9,70.5,192
"TOGO","Africa",34.5,72.1,349
"TONGA","Australia and Oceania",11.5,78,67
"TRINIDAD AND TOBAGO","Central America and the Caribbean",14.7,76.5,54
"TUNISIA","Africa",10.6,77.3,36
"TURKEY (TURKIYE)","Middle East",17.9,76.7,15
"TURKMENISTAN","Central Asia",35,72.4,5
"TUVALU","Australia and Oceania",27.2,69,170
"UGANDA","Africa",27.5,69.7,170
"UKRAINE","Europe",8.4,70.5,15
"UNITED ARAB EMIRATES","Middle East",4.9,79.9,3
"UNITED KINGDOM","Europe",3.7,82.2,8
"UNITED STATES","North America",5,80.9,17
"URUGUAY","South America",6.9,78.9,15
"UZBEKISTAN","Central Asia",17.6,76.2,26
"VANUATU","Australia and Oceania",13.4,75.7,100
"VENEZUELA","South America",13.6,74.5,227
"VIETNAM","East and Southeast Asia",13.8,76.1,48
"WEST BANK","Middle East",14.2,76.5,16
"YEMEN","Middle East",42.4,68.2,118
"ZAMBIA","Africa",30.1,66.9,85
"ZIMBABWE","Africa",32.8,67.2,358
