"country","maternal_mortality","region"
"BAHAMAS, THE",76,"Central America and the Caribbean"
"GUYANA",75,"South America"
"SAO TOME AND PRINCIPE",75,"Africa"
"SAINT KITTS AND NEVIS",74,"Central America and the Caribbean"
"MOROCCO",70,"Africa"
"BELIZE",67,"Central America and the Caribbean"
"KOREA, NORTH",67,"East and Southeast Asia"
"TONGA",67,"Australia and Oceania"
"BRAZIL",67,"South America"
"IRAQ",66,"Middle East"
"MAURITIUS",66,"Africa"
"ALGERIA",62,"Africa"
"NICARAGUA",60,"Central America and the Caribbean"
"COLOMBIA",59,"South America"
"LIBYA",59,"Africa"
"PARAGUAY",58,"South America"
"SAINT VINCENT AND THE GRENADINES",56,"Central America and the Caribbean"
"ECUADOR",55,"South America"
"TRINIDAD AND TOBAGO",54,"Central America and the Caribbean"
"PERU",51,"South America"
"GRENADA",48,"Central America and the Caribbean"
"VIETNAM",48,"East and Southeast Asia"
"BHUTAN",47,"South Asia"
"HONDURAS",47,"Central America and the Caribbean"
"SAINT LUCIA",44,"Central America and the Caribbean"
"KYRGYZSTAN",42,"Central Asia"
"MEXICO",42,"North America"
"SEYCHELLES",42,"Africa"
"MONGOLIA",41,"East and Southeast Asia"
"CABO VERDE",40,"Africa"
"EL SALVADOR",39,"Central America and the Caribbean"
"PANAMA",37,"Central America and the Caribbean"
"DOMINICA",36,"Central America and the Caribbean"
"TUNISIA",36,"Africa"
"BRUNEI",36,"East and Southeast Asia"
"ANTIGUA AND BARBUDA",35,"Central America and the Caribbean"
"CUBA",35,"Central America and the Caribbean"
"BARBADOS",35,"Central America and the Caribbean"
"THAILAND",34,"East and Southeast Asia"
"ARGENTINA",33,"South America"
"MALDIVES",32,"South Asia"
"JORDAN",31,"Middle East"
"FIJI",30,"Australia and Oceania"
"UZBEKISTAN",26,"Central Asia"
"MALAYSIA",26,"East and Southeast Asia"
"COSTA RICA",24,"Central America and the Caribbean"
"GEORGIA",20,"Central Asia"
"SYRIA",20,"Middle East"
"LATVIA",19,"Europe"
"MOLDOVA",19,"Europe"
"ARMENIA",19,"Central Asia"
"SRI LANKA",18,"South Asia"
"AZERBAIJAN",18,"Central Asia"
"EGYPT",17,"Africa"
"BAHRAIN",17,"Middle East"
"UNITED STATES",17,"North America"
"CHINA",16,"East and Southeast Asia"
"WEST BANK",16,"Middle East"
"GAZA STRIP",16,"Middle East"
"IRAN",16,"Middle East"
"TURKEY (TURKIYE)",15,"Middle East"
"URUGUAY",15,"South America"
"PORTUGAL",15,"Europe"
"UKRAINE",15,"Europe"
"LEBANON",15,"Middle East"
"CYPRUS",14,"Europe"
"TAJIKISTAN",14,"Central Asia"
"OMAN",13,"Middle East"
"CANADA",12,"North America"
"ROMANIA",12,"Europe"
"LUXEMBOURG",12,"Europe"
"HUNGARY",12,"Europe"
"ANDORRA",11,"Europe"
"SERBIA",11,"Europe"
"PUERTO RICO",11,"Central America and the Caribbean"
"CHILE",10,"South America"
"KAZAKHSTAN",10,"Central Asia"
"RUSSIA",9,"Central Asia"
"LITHUANIA",8,"Europe"
"KUWAIT",8,"Middle East"
"UNITED KINGDOM",8,"Europe"
"FINLAND",8,"Europe"
"MALTA",8,"Europe"
"SAN MARINO",8,"Europe"
"FRANCE",7,"Europe"
"ALBANIA",7,"Europe"
"NEW ZEALAND",7,"Australia and Oceania"
"SAUDI ARABIA",7,"Middle East"
"ITALY",6,"Europe"
"BOSNIA AND HERZEGOVINA",6,"Europe"
"MONTENEGRO",6,"Europe"
"SINGAPORE",6,"East and Southeast Asia"
"AUSTRIA",6,"Europe"
"BULGARIA",6,"Europe"
"TURKMENISTAN",5,"Central Asia"
"ESTONIA",5,"Europe"
"GREECE",5,"Europe"
"SWITZERLAND",5,"Europe"
"MONACO",5,"Europe"
"IRELAND",4,"Europe"
"QATAR",4,"Middle East"
"NETHERLANDS",4,"Europe"
"BELGIUM",4,"Europe"
"DENMARK",4,"Europe"
"KOREA, SOUTH",4,"East and Southeast Asia"
"SWEDEN",4,"Europe"
"SLOVAKIA",4,"Europe"
"GERMANY",4,"Europe"
"JAPAN",3,"East and Southeast Asia"
"SPAIN",3,"Europe"
"NORTH MACEDONIA",3,"Europe"
"ICELAND",3,"Europe"
"CZECHIA",3,"Europe"
"CROATIA",3,"Europe"
"UNITED ARAB EMIRATES",3,"Middle East"
"SLOVENIA",3,"Europe"
"AUSTRALIA",2,"Australia and Oceania"
"ISRAEL",2,"Middle East"
"POLAND",2,"Europe"
"BELARUS",1,"Europe"
"NORWAY",1,"Europe"
"COOK ISLANDS",0,"Australia and Oceania"
